#Digilent WaveForms Oscilloscope Acquisition,,,,,,,,
#Device Name: Discovery2,,,,,,,,
#Serial Number: SN:210321AE0290,,,,,,,,
#Date Time: 2024-09-22 20:45:31.093,,,,,,,,
#Sample rate: 800000Hz,,,,,,,,
#Samples: 8192,,,,,,,,
#Trigger: Source: Channel 1 Type: Edge Condition: Rising Level: 0 V Hyst.: Auto HoldOff: 0 s,,,,,,,,
#Channel 1: Range: 500 mV/div Offset: 0 V Sample Mode: Average,,,,,,,,
#Channel 2: Range: 500 mV/div Offset: 0 V Sample Mode: Average,,,,,,,,
#Wavegen Channel 1: Running,,,,,,,,
#Mode: Custom,,,,,,,,
#Type: Custom1,,,,,,,,
#Frequency: 200 Hz,,,,,,,,
#Period: 5 ms,,,,,,,,
#Amplitude: 1 V,,,,,,,,
#Offset: 0 V,,,,,,,,
#Phase: 0 °,,,,,,,,
,,,,,,,,
Time (s),Channel 1 (V),Channel 2 (V),,,,,Average Noise%Err,
-0.004872083,0.1477318650055247,0.003429376,,0.160053473,7.698432153,,,
-0.004870833,0.1497499074964686,0.002759509,,0.161603821,7.335169135,,,
-0.004869583,0.1510952691570969,0.002759509,,0.16315377,7.390881155,,,
-0.004868333,0.1524406308177257,0.002759509,,0.164703317,7.445318395,,,
-0.004867083,0.154122333,0.002089643,,0.166252458,7.296207735,,,
-0.004865833,0.1554676945541407,0.002089643,,0.167801188,7.350063093,,,
-0.004864583,0.1561403753844548,0.002089643,,0.169349504,7.799921561,,,
-0.004863333,0.1581584178753984,0.002759509,,0.170897402,7.454170801,,,
-0.004862083,0.1598401199511849,0.002759509,,0.172444879,7.309442221,,,
-0.004860833,0.1608491411966561,0.002089643,,0.17399193,7.553677146,,,
-0.004859583,0.1611854816118133,0.003094442,,0.175538552,8.176591349,,,
-0.004858333,0.1635398645179138,0.003429376,,0.17708474,7.648810269,,,
-0.004857083,0.1655579070088571,0.002759509,,0.178630492,7.318227085,,,
-0.004855833,0.1669032686694853,0.003094442,,0.180175803,7.366435533,,,
-0.004854583,0.1679122899149576,0.003094442,,0.181720669,7.598684066,,,
-0.004853333,0.1699303324058999,0.003429376,,0.183265088,7.276211355,,,
-0.004852083,0.1712756940665297,0.002089643,,0.184809053,7.322887627,,,
-0.004850833,0.1726210557271592,0.002089643,,0.186352563,7.368563792,,,
-0.004849583,0.1739664173877874,0.002759509,,0.187895613,7.413262954,,,
-0.004848333,0.1753117790484163,0.002424576,,0.1894382,7.457007451,,,
-0.004847083,0.1763208002938879,0.002089643,,0.190980319,7.675931497,,,
-0.004845833,0.178002502,0.002089643,,0.192521967,7.541718183,,,
-0.004844583,0.1793478640303022,0.002424576,,0.194063139,7.582725557,,,
-0.004843333,0.1810295661060889,0.004099242,,0.195603833,7.45091079,,,
-0.004842083,0.1820385873515613,0.003429376,,0.197144045,7.662142271,,,
-0.004840833,0.1837202894273466,0.003764309,,0.198683769,7.531304649,,,
-0.004839583,0.1854019915031333,0.003094442,,0.200223004,7.402252598,,,
-0.004838333,0.1867473531637615,0.003094442,,0.201761745,7.441644346,,,
-0.004837083,0.1877563744092332,0.002424576,,0.203299987,7.645653691,,,
-0.004835833,0.1894380764850192,0.002424576,,0.204837729,7.517976389,,,
-0.004834583,0.1904470977304909,0.003094442,,0.206374964,7.717925774,,,
-0.004833333,0.191456119,0.002089643,,0.207911691,7.914692905,,,
